"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 24 12:19:49 UTC 2024","Wed Jul 24 12:19:55 UTC 2024","6373","webkit","registerForm.spec.js","User","","","should successfully submit the form with optional fields filled",""
"passed","Wed Jul 24 12:19:14 UTC 2024","Wed Jul 24 12:19:19 UTC 2024","5698","firefox","registerForm.spec.js","User","","","should successfully submit the form with optional fields filled",""
"passed","Wed Jul 24 12:20:12 UTC 2024","Wed Jul 24 12:20:19 UTC 2024","6580","webkit","registerForm.spec.js","User","","","should successfully register with a randomly selected language in the ""Language"" dropdown list",""
"passed","Wed Jul 24 12:18:48 UTC 2024","Wed Jul 24 12:18:53 UTC 2024","4922","chromium","registerForm.spec.js","User","","","should successfully submit the form with optional fields left blank",""
"passed","Wed Jul 24 12:18:38 UTC 2024","Wed Jul 24 12:18:43 UTC 2024","5363","chromium","registerForm.spec.js","User","","","should successfully submit the form with all required fields filled",""
"passed","Wed Jul 24 12:19:19 UTC 2024","Wed Jul 24 12:19:25 UTC 2024","5544","firefox","registerForm.spec.js","User","","","should successfully submit the form with optional fields left blank",""
"passed","Wed Jul 24 12:19:07 UTC 2024","Wed Jul 24 12:19:13 UTC 2024","6213","firefox","registerForm.spec.js","User","","","should successfully submit the form with all required fields filled",""
"passed","Wed Jul 24 12:20:02 UTC 2024","Wed Jul 24 12:20:06 UTC 2024","4284","webkit","registerForm.spec.js","User","","","should show error messages when required fields are missing",""
"passed","Wed Jul 24 12:19:41 UTC 2024","Wed Jul 24 12:19:48 UTC 2024","6951","webkit","registerForm.spec.js","User","","","should successfully submit the form with all required fields filled",""
"passed","Wed Jul 24 12:19:34 UTC 2024","Wed Jul 24 12:19:40 UTC 2024","5502","firefox","registerForm.spec.js","User","","","should successfully register with a randomly selected language in the ""Language"" dropdown list",""
"passed","Wed Jul 24 12:19:55 UTC 2024","Wed Jul 24 12:20:02 UTC 2024","6269","webkit","registerForm.spec.js","User","","","should successfully submit the form with optional fields left blank",""
"passed","Wed Jul 24 12:18:56 UTC 2024","Wed Jul 24 12:19:01 UTC 2024","4947","chromium","registerForm.spec.js","User","","","should successfully register with the checkbox ""Hide my email address"" checked",""
"passed","Wed Jul 24 12:20:06 UTC 2024","Wed Jul 24 12:20:12 UTC 2024","6162","webkit","registerForm.spec.js","User","","","should successfully register with the checkbox ""Hide my email address"" checked",""
"passed","Wed Jul 24 12:19:29 UTC 2024","Wed Jul 24 12:19:34 UTC 2024","5316","firefox","registerForm.spec.js","User","","","should successfully register with the checkbox ""Hide my email address"" checked",""
"passed","Wed Jul 24 12:19:01 UTC 2024","Wed Jul 24 12:19:07 UTC 2024","5157","chromium","registerForm.spec.js","User","","","should successfully register with a randomly selected language in the ""Language"" dropdown list",""
"passed","Wed Jul 24 12:18:53 UTC 2024","Wed Jul 24 12:18:56 UTC 2024","3164","chromium","registerForm.spec.js","User","","","should show error messages when required fields are missing",""
"passed","Wed Jul 24 12:19:25 UTC 2024","Wed Jul 24 12:19:29 UTC 2024","3873","firefox","registerForm.spec.js","User","","","should show error messages when required fields are missing",""
"passed","Wed Jul 24 12:18:43 UTC 2024","Wed Jul 24 12:18:48 UTC 2024","5038","chromium","registerForm.spec.js","User","","","should successfully submit the form with optional fields filled",""
